datetime.utc,temp,site,keep,conversion,datetime.pdt
2022-04-18 15:26,NA,cp-high,no,7:00,2022-04-18 8:26
2022-04-18 15:56,20,cp-high,no,7:00,2022-04-18 8:56
2022-04-18 16:26,20,cp-high,no,7:00,2022-04-18 9:26
2022-04-18 16:56,20.5,cp-high,no,7:00,2022-04-18 9:56
2022-04-18 17:26,20,cp-high,no,7:00,2022-04-18 10:26
2022-04-18 17:56,19,cp-high,no,7:00,2022-04-18 10:56
2022-04-18 18:26,17,cp-high,no,7:00,2022-04-18 11:26
2022-04-18 18:56,9.5,cp-high,no,7:00,2022-04-18 11:56
2022-04-18 19:26,9.5,cp-high,no,7:00,2022-04-18 12:26
2022-04-18 19:56,9,cp-high,no,7:00,2022-04-18 12:56
2022-04-18 20:26,9,cp-high,no,7:00,2022-04-18 13:26
2022-04-18 20:56,9,cp-high,no,7:00,2022-04-18 13:56
2022-04-18 21:26,9,cp-high,no,7:00,2022-04-18 14:26
2022-04-18 21:56,9,cp-high,no,7:00,2022-04-18 14:56
2022-04-18 22:26,9,cp-high,no,7:00,2022-04-18 15:26
2022-04-18 22:56,8.5,cp-high,no,7:00,2022-04-18 15:56
2022-04-18 23:26,8.5,cp-high,no,7:00,2022-04-18 16:26
2022-04-18 23:56,8.5,cp-high,no,7:00,2022-04-18 16:56
2022-04-19 0:26,8.5,cp-high,yes,7:00,2022-04-18 17:26
2022-04-19 0:56,8.5,cp-high,yes,7:00,2022-04-18 17:56
2022-04-19 1:26,8.5,cp-high,yes,7:00,2022-04-18 18:26
2022-04-19 1:56,8.5,cp-high,yes,7:00,2022-04-18 18:56
2022-04-19 2:26,8.5,cp-high,yes,7:00,2022-04-18 19:26
2022-04-19 2:56,8.5,cp-high,yes,7:00,2022-04-18 19:56
2022-04-19 3:26,8.5,cp-high,yes,7:00,2022-04-18 20:26
2022-04-19 3:56,8.5,cp-high,yes,7:00,2022-04-18 20:56
2022-04-19 4:26,8.5,cp-high,yes,7:00,2022-04-18 21:26
