"","sample_id","site_id","updated_sample_type","fake_kelp_height","year","month","day","sampling_round","lab_round","lab_blistering","water_type","aquarium_salinity","paper_aquarium_day","aquarium_day","position_of_meristem","desmerestia","extraction_kit_brand","lab_or_field_sampled","pcr_cycles","pcr_position","N.conduct","mean.conduct","sd.conduct","N.temp","mean.temp","sd.temp","se.conduct","lci.conduct","uci.conduct","se.temp","lci.temp","uci.temp"
"airline1-c-10-2022-4-25","airline1-c-10-2022-4-25","10","airline",NA,2022,4,25,8,1,"","lab",10,"","D-7",NA,"no","zymo","lab",25,"plate2-G-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline1-f-10-2022-4-20","airline1-f-10-2022-4-20","10","airline",NA,2022,4,20,8,1,"","lab",10,"day1","D-2",NA,"no","zymo","lab",35,"plate4-C-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline10202253","airline10202253","10","airline",NA,2022,5,3,9,2,"","lab",10,"day0","D-1",NA,"no","zymo","lab",25,"plate3G12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-10-2022-5-6","airline-10-2022-5-6","10","airline",NA,2022,5,6,9,2,"","lab",10,"day1","D-4",NA,"no","zymo","lab",25,"plate5-C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-10-2022-5-20","airline-10-2022-5-20","10","airline",NA,2022,5,20,10,3,"","lab",10,"","D-4",NA,"no","zymo","lab",25,"plate4--e8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-10-2022-5-17","airline-10-2022-5-17","10","airline",NA,2022,5,17,10,3,"","lab",10,"day0","D-1",NA,"no","zymo","lab",25,"plate8-F-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-10-2022-5-21","airline-10-2022-5-21","10","airline",NA,2022,5,21,10,3,"","lab",10,"day4","D-5",NA,"no","zymo","lab",25,"plate5-C6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-10-2022-5-31","airline-10-2022-5-31","10","airline",NA,2022,5,31,11,4,"","lab",10,"day0","D-1",NA,"no","zymo","lab",25,"plate6-G4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-10-2022-6-1","airline-10-2022-6-1","10","airline",NA,2022,6,1,11,4,"","lab",10,"day1","D-2",NA,"no","zymo","lab",35,"plate6-G10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-c-10-2022-5-21","meristem-c-10-2022-5-21","c-10","meristem",NA,2022,5,21,10,3,"y","lab",10,"day4","D-5",NA,"no","zymo","lab",35,"plate5-G5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-10-2022-6-14","airline-10-2022-6-14","10","airline",NA,2022,6,14,12,5,"","lab",10,"day0","D-1",NA,"no",NA,"lab",25,"plate7-A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-10-2022-6-15","airline-10-2022-6-15","10","airline",NA,2022,6,15,12,5,"","lab",10,"day1","D-2",NA,"no","zymo","lab",25,"plate8-B10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-10-2022-6-28","airline-10-2022-6-28","10","airline",NA,2022,6,28,13,6,"","lab",10,"day0","D-1",NA,"no","zymo","lab",35,"plate5-H12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-10-2022-6-30","airline-10-2022-6-30","10","airline",NA,2022,6,30,13,6,"","lab",10,"day1","D-2",NA,"no","zymo","lab",25,"plate7-E2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-10-2022-7-12","airline-10-2022-7-12","10","airline",NA,2022,7,12,14,7,"","lab",10,"day0","D-1",NA,"no","zymo","lab",25,"plate7-G2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-10-2022-7-13","airline-10-2022-7-13","10","airline",NA,2022,7,13,14,7,"","lab",10,"day1","D-2",NA,"no","zymo","lab",35,"plate7-G9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-c-10-2022-5-20","water-c-10-2022-5-20","c-10","water",NA,2022,5,20,10,3,"","lab",10,"day4","D-5",NA,"no","zymo","lab",25,"plate5-C8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-10-2022-7-28","airline-10-2022-7-28","10","airline",NA,2022,7,28,15,8,"","lab",10,"day1","D-2",NA,"no","zymo","lab",35,"plate5-A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-f-10-2022-5-20","water-f-10-2022-5-20","f-10","water",NA,2022,5,20,10,3,"","lab",10,"day4","D-5",NA,"no","zymo","lab",25,"plate8-d5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline1-b-20-2022-4-25","airline1-b-20-2022-4-25","20","airline",NA,2022,4,25,8,1,"","lab",10,"","D-7",NA,"no","zymo","lab",25,"plate2-H-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
