illumina_sample_id,sample_id,site_id,original_sample_type,updated_sample_type,keep_samples,year,month,day,SampleID,water_type,salinity_notes,aquarium_salinity,position_of_meristem,length_cm,width_cm,fouling,bleaching,recovered_bleaching,blistering,reproductive,split,flap,holes,lab_or_field_sampled,aquarium,aquarium_day,desmerestia,spad500_reading_1,spad500_reading_2,notes,N.conduct,mean.conduct,sd.conduct,N.ph,mean.ph,sd.ph,N.temp,mean.temp,sd.temp,se.conduct,lci.conduct,uci.conduct,se.temp,lci.temp,uci.temp,se.ph,lci.ph,uci.ph
fakekelp-high-gw-2022-7-12,fakekelp-high-gw-2022-7-12,gw,fakekelp-high,meristem,y,2022,7,12,fakekelp-high-gw-2022-7-12,ocean,,30,,NA,NA,,,,,,,,,field,,D-1,,NA,NA,,3,25.36,0.31432467,3,8.080349,0.002783369,3,14.7,0.17320508,0.181475435,25.004308,25.71569,0.1,14.504,14.896,0.1,7.884349,8.276349
meristem10-gw-2022-5-17,meristem10-gw-2022-5-17,gw,meristem,meristem,y,2022,5,17,meristem10-gw-2022-5-17,ocean,,20,submerged,31,11,low,no,,no,no,,,,field,yes,D-1,,NA,NA,,3,26.81667,0.08386497,3,8.134986,0,3,10.6,0.17320508,0.048419463,26.721765,26.91157,0.1,10.404,10.796,0.1,7.938986,8.330986
meristem10-gw-2022-5-3,meristem10-gw-2022-5-3,gw,meristem,meristem,y,2022,5,3,meristem10-gw-2022-5-3,ocean,,20,submerged,NA,NA,,,,,,,,,field,yes,D-1,,NA,NA,,3,27.76333,0.06806859,3,8.1382,0.002783369,3,10.3,0.1,0.03929942,27.686306,27.84036,0.05773503,10.186839,10.41316,0.05773503,8.02504,8.251361
meristem10-gw-2022-5-31,meristem10-gw-2022-5-31,gw,meristem,meristem,y,2022,5,31,meristem10-gw-2022-5-31,ocean,,20,submerged,NA,NA,,,,,,,,,field,yes,D-1,,NA,NA,,3,25.54333,0.306159,3,8.091598,0.008350107,3,13.83333,0.47258156,0.176760981,25.196882,25.88978,0.27284509,13.298557,14.36811,0.27284509,7.556821,8.626374
meristem10-gw-2022-6-14,meristem10-gw-2022-6-14,gw,meristem,meristem,y,2022,6,14,meristem10-gw-2022-6-14,ocean,,20,submerged,NA,NA,,,,,,,,,field,,D-1,,NA,NA,,3,25.66667,0.57735027,3,NA,NA,3,NA,NA,0.333333333,25.013333,26.32,NA,NA,NA,NA,NA,NA
meristem10-gw-2022-6-28,meristem10-gw-2022-6-28,gw,meristem,meristem,y,2022,6,28,meristem10-gw-2022-6-28,ocean,,20,submerged,NA,NA,,,,,,,,,field,,D-1,,NA,NA,,3,23.72667,0.16862187,3,8.080349,0.002783369,3,14.63333,0.15275252,0.097353879,23.535853,23.91748,0.08819171,14.460478,14.80619,0.08819171,7.907493,8.253205
meristem10-gw-2022-7-12,meristem10-gw-2022-7-12,gw,meristem,meristem,y,2022,7,12,meristem10-gw-2022-7-12,ocean,,20,submerged,NA,NA,,,,,,,,,field,,D-1,,NA,NA,,3,25.36,0.31432467,3,8.080349,0.002783369,3,14.7,0.17320508,0.181475435,25.004308,25.71569,0.1,14.504,14.896,0.1,7.884349,8.276349
meristem10-tb-2022-5-31,meristem10-tb-2022-5-31,tb,meristem,meristem,y,2022,5,31,meristem10-tb-2022-5-31,tidepool,,NA,submerged,7.5,4,high,no,,no,no,no,,,field,,,,NA,NA,,3,17.26,0.18193405,3,8.041781,0.005566738,3,17.66667,0.4163332,0.105039675,17.054122,17.46588,0.24037009,17.195541,18.13779,0.24037009,7.570656,8.512907
meristem10-tb-2022-6-14,meristem10-tb-2022-6-14,tb,meristem,meristem,y,2022,6,14,meristem10-tb-2022-6-14,tidepool,,20,submerged,14,5.5,low,no,,yes,no,no,no,,field,yes,D-1,,NA,NA,,3,12,0,3,NA,NA,3,NA,NA,0,12,12,NA,NA,NA,NA,NA,NA
meristem10-tb-2022-6-28,meristem10-tb-2022-6-28,tb,meristem,meristem,y,2022,6,28,meristem10-tb-2022-6-28,tidepool,,NA,submerged,8.5,3.5,low,yes,,yes,,,,,field,,,,NA,NA,,3,15.44,0.84504438,3,8.046602,0.005566738,3,17.36667,0.51316014,0.487886599,14.483742,16.39626,0.29627315,16.785971,17.94736,0.29627315,7.465907,8.627298
