"","year","month","day","site_of_orginin","meristem_id","exp_day","aquarium_salinity","tank_id","time_low_sal_h","meristem_id_old","wet_weight_g","X2022_freshet_sample","pam_id","pam_notes","blistering_lab","holes_general_dammage","bleached","pre_dry_weight_g","post_dry_weight_g","culture_round","petri_dish_weight_g","time","type","F1","Fm","PAR","Y","ETR"
"1",2022,6,14,"gw",13,1,10,"c",NA,NA,4.22,"yes",13,"demerestiamaybeinaquaria",0,0,0,NA,NA,5,NA,"14:43:32","F","53",91,0,"0.418","0"
"2",2022,6,14,"gw",14,1,10,"c",NA,NA,4.96,"yes",14,"demerestiamaybeinaquaria",0,0,0,NA,NA,5,NA,"14:43:37","F","31",135,0,"0.77","0"
"3",2022,6,14,"gw",15,1,10,"c",NA,NA,9.48,"yes",15,"demerestiamaybeinaquaria",0,0,0,NA,NA,5,NA,"14:43:44","F","44",102,0,"0.569","0"
"4",2022,6,15,"gw",13,2,10,"c",NA,NA,4.06,"yes",13,"demerestiamaybeinaquaria",1,0,0,NA,NA,5,NA,"16:20:51","F","69",313,0,"0.78","0"
"5",2022,6,15,"gw",14,2,10,"c",NA,NA,5.17,"yes",14,"demerestiamaybeinaquaria",1,0,0,NA,NA,5,NA,"16:20:58","F","101",310,0,"0.674","0"
"6",2022,6,15,"gw",15,2,10,"c",NA,NA,10.69,"yes",15,"demerestiamaybeinaquaria",1,0,0,NA,NA,5,NA,"16:21:07","F","45",243,0,"0.815","0"
"7",2022,4,19,"gw",1,1,30,"a",NA,NA,5.98,"yes",1,"didn'tauto0",0,0,0,NA,NA,1,NA,"18:11:04","F","110",394,0,"0.721","0"
"8",2022,4,19,"gw",2,1,20,"b",NA,NA,5.41,"yes",2,"didn'tauto0",0,0,0,NA,NA,1,NA,"18:23:18","F","61",318,0,"0.808","0"
"9",2022,4,19,"gw",3,1,10,"c",NA,NA,3.6,"yes",3,"didn'tauto0",0,0,0,NA,NA,1,NA,"18:23:34","F","114",383,0,"0.702","0"
"10",2022,4,19,"gw",4,1,30,"d",NA,NA,3.84,"yes",4,"didn'tauto0",0,0,0,NA,NA,1,NA,"18:23:48","F","91",324,0,"0.719","0"
"11",2022,4,19,"gw",5,1,20,"e",NA,NA,1.15,"yes",5,"didn'tauto0",0,0,0,NA,NA,1,NA,"18:33:06","F","109",439,0,"0.752","0"
"12",2022,4,19,"gw",6,1,10,"f",NA,NA,4.4,"yes",6,"didn'tauto0",0,0,0,NA,NA,1,NA,"18:33:18","F","91",325,0,"0.72","0"
"13",2022,4,19,"gw",7,1,30,"a",NA,NA,2.8,"yes",7,"didn'tauto0",0,0,0,NA,NA,1,NA,"18:33:32","F","99",389,0,"0.746","0"
"14",2022,4,19,"gw",8,1,20,"b",NA,NA,4.25,"yes",8,"didn'tauto0",0,0,0,NA,NA,1,NA,"18:33:45","F","103",348,0,"0.704","0"
"15",2022,4,19,"gw",9,1,10,"f",NA,NA,4.12,"yes",9,"didn'tauto0",0,0,0,NA,NA,1,NA,"18:42:17","F","87",383,0,"0.773","0"
"16",2022,4,19,"gw",10,1,30,"d",NA,NA,4.48,"yes",10,"didn'tauto0",0,0,0,NA,NA,1,NA,"18:42:30","F","97",374,0,"0.741","0"
"17",2022,4,19,"gw",11,1,20,"e",NA,NA,6.6,"yes",11,"didn'tauto0",0,0,0,NA,NA,1,NA,"18:42:42","F","100",373,0,"0.732","0"
"18",2022,4,19,"gw",12,1,10,"f",NA,NA,2.14,"yes",12,"didn'tauto0",0,0,0,NA,NA,1,NA,"18:42:54","F","104",417,0,"0.751","0"
"19",2022,4,19,"gw",13,1,30,"a",NA,NA,5.58,"yes",13,"didn'tauto0",0,0,0,NA,NA,1,NA,"18:51:22","F","103",330,0,"0.688","0"
"20",2022,4,19,"gw",14,1,20,"b",NA,NA,5.22,"yes",14,"didn'tauto0",0,0,0,NA,NA,1,NA,"18:51:34","F","124",410,0,"0.698","0"
"21",2022,4,19,"gw",16,1,10,"c",NA,NA,3.4,"yes",15,"didn'tauto0",0,0,0,NA,NA,1,NA,"18:51:45","F","82",339,0,"0.758","0"
"22",2022,4,19,"gw",17,1,30,"d",NA,NA,2.65,"yes",16,"didn'tauto0",0,0,0,NA,NA,1,NA,"18:59:25","F","70",372,0,"0.812","0"
"23",2022,4,19,"gw",18,1,20,"e",NA,NA,4.61,"yes",17,"didn'tauto0",0,0,0,NA,NA,1,NA,"18:59:33","F","129",356,0,"0.638","0"
"24",2022,4,20,"gw",1,2,30,"a",NA,NA,6.7,"yes",4,"didn'tauto0",0,0,0,NA,NA,1,NA,"18:59:24","F","70",239,0,"0.707","0"
