"","year","month","day","site_id","sampling_start_time","lowest_tide_time","lowest_tide_height_m","sample_type","read_number","water_type","water_temp_C","salinity","water_salinity_ppt","water_salinity_ysi","salnity_collection_method"
"1",2021,4,16,"lhp","13:53","15:03",1.1,"ysi",1,"ocean",11.5,27.25,NA,NA,NA
"2",2021,4,16,"lhp","13:53","15:03",1.1,"ysi",2,"ocean",11.1,26.93,NA,NA,NA
"3",2021,4,16,"lhp","13:53","15:03",1.1,"ysi",3,"ocean",11.7,27.4,NA,NA,NA
"4",2021,4,16,"scp","15:25","15:03",1.1,"ysi",1,"ocean",10.5,27.23,NA,NA,NA
"5",2021,4,16,"scp","15:25","15:03",1.1,"ysi",2,"ocean",10.53,27.31,NA,NA,NA
"6",2021,4,16,"scp","15:25","15:03",1.1,"ysi",3,"ocean",10.6,27.05,NA,NA,NA
"7",2021,4,17,"gw","15:41","15:55",1.1,"ysi",1,"ocean",12.3,30,NA,NA,NA
"8",2021,4,17,"gw","15:41","15:55",1.1,"ysi",2,"ocean",11.9,29.76,NA,NA,NA
"9",2021,4,17,"gw","15:41","15:55",1.1,"ysi",3,"ocean",11.7,29.62,NA,NA,NA
"10",2021,4,17,"tb","14:42","15:55",1.1,"ysi",1,"tidepool",15.3,29.71,NA,NA,NA
"11",2021,4,17,"tb","14:42","15:55",1.1,"ysi",2,"ocean",15,29.82,NA,NA,NA
"12",2021,4,17,"tb","14:42","15:55",1.1,"ysi",3,"ocean",14.9,29.77,NA,NA,NA
"13",2021,4,29,"lhp","12:51","14:06",0.3,"ysi",1,"tidepool",13.5,27.94,NA,NA,NA
"14",2021,4,29,"lhp","12:51","14:06",0.3,"ysi",2,"ocean",11.3,25.65,NA,NA,NA
"15",2021,4,29,"lhp","12:51","14:06",0.3,"ysi",3,"ocean",11.3,26.13,NA,NA,NA
"16",2021,4,29,"scp","14:02","14:06",0.3,"ysi",1,"ocean",11.1,25.6,NA,NA,NA
"17",2021,4,29,"scp","14:02","14:06",0.3,"ysi",2,"ocean",11.1,26.55,NA,NA,NA
"18",2021,4,29,"scp","14:02","14:06",0.3,"ysi",3,"ocean",11.6,26.87,NA,NA,NA
"19",2021,4,30,"gw","14:40","15:12",0.3,"ysi",1,"ocean",10.8,28.34,NA,NA,NA
"20",2021,4,30,"gw","14:40","15:12",0.3,"ysi",2,"ocean",10,27.85,NA,NA,NA
"21",2021,4,30,"gw","14:40","15:12",0.3,"ysi",3,"ocean",10.3,28,NA,NA,NA
"22",2021,4,30,"tb","13:21","15:12",0.3,"ysi",1,"tidepool",13.3,24.43,NA,NA,NA
"23",2021,4,30,"tb","13:21","15:12",0.3,"ysi",2,"ocean",13,25.74,NA,NA,NA
"24",2021,4,30,"tb","13:21","15:12",0.3,"ysi",3,"ocean",10.9,26.66,NA,NA,NA
"25",2021,5,13,"lhp","11:57","13:24",0.9,"ysi",1,"tidepool",16,20.95,NA,NA,NA
"26",2021,5,13,"lhp","11:57","13:24",0.9,"ysi",2,"tidepool",15.6,20.91,NA,NA,NA
"27",2021,5,13,"lhp","11:57","13:24",0.9,"ysi",3,"tidepool",17.4,22.26,NA,NA,NA
"28",2021,5,13,"lhp","11:57","13:24",0.9,"ysi",4,"ocean",14.4,20.9,NA,NA,NA
"29",2021,5,13,"lhp","11:57","13:24",0.9,"ysi",5,"ocean",14.3,20.24,NA,NA,NA
"30",2021,5,13,"lhp","11:57","13:24",0.9,"ysi",6,"ocean",14.3,20.34,NA,NA,NA
