"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GVPBI9U4","journalArticle","2023","Healy, Laura E.; Zhu, Xianglu; Kakagianni, Myrsini; Poojary, Mahesha M.; Sullivan, Carl; Tiwari, Uma; Curtin, James; Sun, Da-Wen; Tiwari, Brijesh K.","Fermentation of brown seaweeds Alaria esculenta and Saccharina latissima for new product development using Lactiplantbacillus plantarum, Saccharomyces cerevisiae and kombucha SCOBY","Algal Research","","2211-9264","10.1016/j.algal.2023.103322","https://www.sciencedirect.com/science/article/pii/S2211926423003557","Two seaweed species were examined (Alaria esculenta and Saccharina latissima) as a fermentation feedstock for the development of a beverage. Three microbial groups were selected for experimentation; a single-species bacterium; Lactiplantibacillus plantarum, a single-species yeast; Saccharomyces cerevisiae and a multi-species culture; kombucha SCOBY (Symbiotic Culture of Bacteria and Yeast). Results showed SCOBY cultures were more successful in fermenting A. esculenta than S. latissima due to the lowered glucose content (4.069 ± 0.174 mg / mL and 12.224 ± 2.249 mg / mL, respectively). Likewise, L. plantarum played a major role in fermenting S. latissima, over A. esculenta, resulting in a lowered pH in the former but not the latter (6.44 ± 0.040 and 4.825 ± 0.045, respectively). S. cerevisiae does not appear to have been suitable as a fermentation medium for these two seaweed species under these conditions due to the lack of pH lowering, glucose reduction and acid production. All treatments showed an increased production of lactic acid, especially the SCOBY treated samples, which is an indicator of fermentation. There is potential for optimization of the seaweed fermentation process through strain selection, fermentation conditions optimization (temperature, time, pH) and seaweed biomass pretreatment. Glutamic acid, the amino acid responsible for umami flavour, was found in greater quantities in the S. cerevisiae treated seaweed, indicating that fermentation using S. cerevisiae cultures may improve the umami flavour profile of a seaweed fermented beverage product. In order to see if the seaweed species used had an impact on the SCOBY microbial makeup, the DNA profiles of the two SCOBYs used were analyzed. There were significant differences between the two SCOBYs. The A. esculenta SCOBY showed slightly rarer species of fungi and the species abundance of fungi was greater than that of S. latissima SCOBY. Furthermore, the number of fungal operational taxonomic units (OTUs) in A. esculenta SCOBY was higher than that in S. latissima SCOBY. This study shows the potential of using brown seaweed species as a fermentation substrate to develop a novel, fermented beverage.","2023-11-01","2024-01-21 21:05:56","2024-02-09 00:14:39","2024-01-21 21:05:56","103322","","","76","","Algal Research","","","","","","","","","","","","","ScienceDirect","","","","","","Brown seaweed fermentation; Kombucha; Lactic acid bacteria; Lactiplantibacillus plantarum; Novel food product development; Saccharomyces cerevisiae; SCOBY; Seaweed fermentation; zot_refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JQXC6EAJ","journalArticle","2020","Hakvåg, Sigrid; Nærdal, Ingemar; Heggeset, Tonje M. B.; Kristiansen, Kåre A.; Aasen, Inga M.; Brautaset, Trygve","Production of Value-Added Chemicals by Bacillus methanolicus Strains Cultivated on Mannitol and Extracts of Seaweed Saccharina latissima at 50°C","Frontiers in Microbiology","","1664-302X","","https://www.frontiersin.org/articles/10.3389/fmicb.2020.00680","The facultative methylotroph Bacillus methanolicus MGA3 has previously been genetically engineered to overproduce the amino acids L-lysine and L-glutamate and their derivatives cadaverine and γ-aminobutyric acid (GABA) from methanol at 50°C. We here explored the potential of utilizing the sugar alcohol mannitol and seaweed extract (SWE) containing mannitol, as alternative feedstocks for production of chemicals by fermentation using B. methanolicus. Extracts of the brown algae Saccharina latissima harvested in the Trondheim Fjord in Norway were prepared and found to contain 12–13 g/l of mannitol, with conductivities corresponding to a salt content of ∼2% NaCl. Initially, 12 B. methanolicus wild type strains were tested for tolerance to various SWE concentrations, and some strains including MGA3 could grow on 50% SWE medium. Non-methylotrophic and methylotrophic growth of B. methanolicus rely on differences in regulation of metabolic pathways, and we compared production titers of GABA and cadaverine under such growth conditions. Shake flask experiments showed that recombinant MGA3 strains could produce similar and higher titers of cadaverine during growth on 50% SWE and mannitol, compared to on methanol. GABA production levels under these conditions were however low compared to growth on methanol. We present the first fed-batch mannitol fermentation of B. methanolicus and production of 6.3 g/l cadaverine. Finally, we constructed a recombinant MGA3 strain synthesizing the C30 terpenoids 4,4′-diaponeurosporene and 4,4′-diapolycopene, experimentally confirming that B. methanolicus has a functional methylerythritol phosphate (MEP) pathway. Together, our results contribute to extending the range of both the feedstocks for growth and products that can be synthesized by B. methanolicus.","2020","2024-01-21 21:19:18","2024-02-09 00:07:09","2024-01-21 21:19:18","","","","11","","","","","","","","","","","","","","","Frontiers","","","","; ","https://www.frontiersin.org/articles/10.3389/fmicb.2020.00680/full; https://scholar.google.com/scholar?q=related:oy8qqOQdqwEJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as%E2%82%9Bdt=2007&as%3Csub%3Ey%3C/sub%3Elo=2020","affinity chromatography; Article; Bacillus; Bacillus methanolicus; Bacillus subtilis; bacterial growth; bacterial strain; batch fermentation; biomass; biomass production; cadaverine; carbon source; carotenoid; cell aggregation; chloramphenicol; chromatography; controlled study; Escherichia coli; fermentation; flow rate; GABA; gas chromatography; high performance liquid chromatography; isopentenyl diphosphate; kanamycin; laminaran; liquid chromatography-mass spectrometry; macroalgae; mannitol; mass fragmentography; mass spectrometry; metabolite; nonhuman; optical density; protein degradation; refraction index; reversed phase high performance liquid chromatography; Saccharina latissima; Saccharomyces cerevisiae; seaweed; Staphylococcus aureus; terpenoids; thermophilic; ultra performance liquid chromatography; zot_refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A2FNRVCX","journalArticle","2022","Yen, Ying; Weisbjerg, Martin Riis; Rautenberger, Ralf; Fečkaninová, Adriána; Novoa-Garrido, Margarita","Improving fermentation of Saccharina latissima and Alaria esculenta silages with additives for preserving biomass and antioxidants","Journal of Applied Phycology","","1573-5176","10.1007/s10811-021-02628-4","https://doi.org/10.1007/s10811-021-02628-4","Rapid deterioration of harvested macroalgal biomass is a challenge for macroalgal industry and can be overcome with the inexpensive ensiling preservation. To improve silage quality, Saccharina latissima and Alaria esculenta biomass was subjected to ensiling conditions following a 2 × 4 factorial design, with 2 prewilting treatments (no-prewilting and prewilted to 300 g DM kg−1 fresh biomass) and 4 additive treatments (no additive, formic acid, single and two species of Lactobacillus inoculant), and ensiled for 3 or 12 months at 15 °C. Acetate was the main fermentation product in these seaweed silages. Prewilting reduced the acetate, mannitol, and NH3 content in silages. In S. latissima silages without additives, prewilting led to less acidification (pH = 5.7). Also, prewilting caused protein and phlorotannin degradation. When treated with formic acid, the silage pH was below 4 regardless of the biomass’s moisture content. The use of Lactobacillus spp. inoculants was essential for lactate production in seaweed silages, and it significantly lowered silage pH in S. latissima and prewilted A. esculenta compared to silages with no additives. A high level of the phlorotannin content was preserved (> 90%) in the 3-month A. esculenta silages without prewilting. However, major reduction of antioxidant activity was observed in 12-month silages in both seaweed species. In conclusion, ensiling is a viable method for preserving Alaria and Saccharina biomass. Prewilting restricted silage fermentation, and both formic acid and bacterial additives facilitated silage acidification. However, there was no clear benefit of these treatments in preserving the antioxidant activity.","2022-02-01","2024-01-21 21:41:52","2024-02-09 00:14:12","2024-01-21 21:41:52","625-636","","1","34","","J Appl Phycol","","","","","","","","en","","","","","Springer Link","","","","","","Alaria esculenta; Antioxidant activity; Chemical composition; Macroalgae; Phlorotannin; Saccharina latissima; zot_refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PK9TVH7S","journalArticle","2021","Cusson, Amber J.; Burkholder, Kristin M.; Byron, Carrie J.; Grebe, Gretchen S.; Deveau, Amy M.","Impact of time of harvest and drying method on antimicrobial activity of Saccharina latissima against two Staphylococcus aureus strains","Applied Phycology","","null","10.1080/26388081.2021.1996208","https://doi.org/10.1080/26388081.2021.1996208","Antibiotic resistance is one of the greatest public health threats of our time, and the bacterium Staphylococcus aureus, of which there are numerous drug-resistant and drug-sensitive strains, is a pathogen of worldwide concern. Scientists are turning their focus to underexplored marine ecosystems to identify novel antibacterial agents effective against S. aureus. Here, we report inhibition of S. aureus strains Newman and USA300 by extracts from Saccharina latissima (sugar kelp), grown and harvested in the Western Gulf of Maine, USA. We examined how time of harvest throughout the growing season as well as the drying method pre-extraction affected the antimicrobial activity of the kelp extracts. Optimal antimicrobial activity was observed at the beginning of April (203 days since sporing), when increased water pH and higher salinity levels were also observed. Oven-dried crude extracts showed greater inhibition against S. aureus Newman, whereas freeze-dried crude extracts demonstrated greater inhibition against S. aureus USA300. Overall, our data indicate that cultivated S. latissima from the Western Gulf of Maine possesses significant value-added antimicrobial activity and identify early spring as an optimal harvest time to harness antimicrobial activity.","2021-01-01","2024-01-21 21:42:01","2024-02-08 21:58:35","2024-01-21 21:42:01","80-88","","1","2","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/26388081.2021.1996208","","","","aquaculture; kelp; macroalgae; Antibiotic; natural products; zot_refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q3WY9QJP","thesis","2021","Matsson, Sanna","Fouling of macro epibionts on cultivated Saccharina latissima (Phaeophyceae). In situ temporal and spatial variation","","","","","https://munin.uit.no/handle/10037/20519","The motivation for macroalgal cultivation is to meet the global demand for food, energy and biomaterials for a rapidly growing human population in the context of the challenges of limited terrestrial food resources. Over the last 20 years the interest in seaweed cultivation has increased in European countries, and the kelp <i>Saccharina latissima</i> is one of the best-suited species for cultivation in North Atlantic waters. Epibiosis on cultivated seaweed in mid and high latitudes usually occurs from spring to summer, forcing the farmers to harvest the seaweed biomass before it reaches its potential maximum and higher carbohydrate content. Therefore, epibiosis is considered one of the main challenges in industrial seaweed farming. There has been a lack of knowledge about timing and species fouling cultivated <i>S. latissima</i> under different environmental conditions, including different latitudes, seasons and depths, as well as sporophyte age and nutritional history. This topic was investigated through three in situ studies, one with a large latitudinal range covering eleven degrees in latitude, one smaller-scale study within a geographical region characterized by differing environmental characteristics, and one with different outplanting dates resulting in various sporophyte ages within the same location at a given calendar date. The papers that this thesis is built upon show that there is spatial variability in phenology, degree and density of epibiosis on multiple scales on cultivated <i>S. latissima</i>. The present study has increased our knowledge about one of the bottlenecks for seaweed cultivation; epibiosis. Furthermore, this new fundamental understanding of timing and species diversity of epibiosis on cultivated <i>S. latissima</i> contributes to an overall understanding of the fouling issue along the Norwegian coast, enabling a broader view with important implications for the seaweed industry.","2021-03-04","2024-01-21 21:42:17","2024-02-09 00:56:00","2024-01-21 21:42:17","","","","","","","","","","","","UiT The Arctic University of Norway","","eng","openAccess","Doctoral thesis","","","munin.uit.no","","Accepted: 2021-02-05T09:41:57Z ISBN: 9788282661928","","","","zot_refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"798CR2FN","journalArticle","2023","Boldreel, Emma H.; Attard, Karl M.; Hancke, Kasper; Glud, Ronnie N.","Microbial degradation dynamics of farmed kelp deposits from Saccharina latissima and Alaria esculenta","Marine Ecology Progress Series","","0171-8630, 1616-1599","10.3354/meps14285","https://www.int-res.com/abstracts/meps/v709/p1-15/","Seaweed farming is a growing industry worldwide, and its sustainable management requires detailed knowledge about the environmental implications of detrital release. This study investigates benthic degradation of kelp detritus in defaunated mesocosms. The degradation dynamics were investigated over several weeks by resolving O2 and dissolved inorganic carbon (DIC) fluxes as a function of detritus amendments (0.15 g wet weight [WW] m-2 to 1 kg WW m-2), temperature (8 and 15°C), and presence of O2 for 2 commercially important kelp species: Saccharina latissima and Alaria esculenta. Kelp fragments were deposited in 2 different ways to simulate oxic and anoxic degradation: on the sediment surface (surface amendments) and just below the oxic surface sediment layer (subsurface amendments). All amendments resulted in high initial O2 consumption followed by an exponential decrease in O2 uptake over time. The degradation rates increased linearly with the amount of kelp added for both species and for both types of amendments. S. latissima expressed higher decay constants across all experiments and had a higher percentage turnover of carbon. In some instances, microbial priming apparently enabled enhanced degradation of pre-existing resilient sedimentary carbon. The absolute degradation rates of kelp were reduced in the absence of O2, and sulfate reduction resulted in gradual accumulation of iron sulfide. Lower ambient temperature reduced the benthic mineralization rate of both kelp species, particularly during the initial incubation stages. The current study demonstrates the importance of key variables for microbial kelp degradation in marine sediments and their dynamics—variables that should be carefully considered when assessing environmental implications of seaweed farming.","2023-04-13","2024-01-21 21:44:27","2024-02-09 00:12:36","2024-01-21 21:44:27","1-15","","","709","","","","","","","","","","en","","","","","www.int-res.com","","","","; ","https://www.int-res.com/articles/meps%E2%82%92a/m709p001.pdf; https://scholar.google.com/scholar?q=related:RbN3bNJjuTYJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as%E2%82%9Bdt=2007&as%3Csub%3Ey%3C/sub%3Elo=2020","Benthic fluxes; biodegradation; biomineralization; carbon cycle; detritus; dissolved inorganic carbon; Kelp detritus; microbial activity; Microbial degradation; Microbial priming; seaweed; Seaweed cultivation; sulfate; zot_refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AC5F3EK3","journalArticle","2020","Novoa-Garrido, Margarita; Marcos, Carlos Navarro; Travieso, María Dolores Carro; Alcaide, Eduarda Molina; Larsen, Mogens; Weisbjerg, Martin Riis","Preserving Porphyra umbilicalis and Saccharina latissima as Silages for Ruminant Feeding","Animals","","2076-2615","10.3390/ani10111957","https://www.mdpi.com/2076-2615/10/11/1957","The study analyzed the characteristics, chemical composition, and in vitro gas production kinetics of Porphyra umbilicalis and Saccharina latissima silages. Each seaweed was ensiled in vacuum bags (three bags/silage) following a 2 × 3 factorial design, with two pre-treatments (unwilted or pre-wilted) and three silage types: unwashed seaweed ensiled without additive; seaweed washed and ensiled without additive; and seaweed washed and ensiled with 4 g of formic acid (FAC) per kg seaweed. Silages were kept for 3 months in darkness at 20 °C. Pre-wilting prevented (p < 0.001) effluent formation and reduced (p ≤ 0.038) the production of NH3-N and volatile fatty acids for both seaweeds. Both pre-wilting and washing increased (p < 0.05) the ruminal degradability of P. umbilicalis silages but not of S. latissima silages. The pH of the FAC-treated silages was below 4.0, but ranged from 4.54 to 6.23 in non FAC-treated silages. DL-lactate concentrations were low (≤23.0 g/kg dry matter) and acetate was the predominant fermentation product, indicating a non-lactic fermentation. The estimated ruminal degradability of the P. umbilicalis and S. latissima silages was as average, 59.9 and 86.1% of that for high-quality rye-grass silages, respectively, indicating a medium-low nutritional value of these seaweed silages for ruminants.","2020-11","2024-01-21 21:45:00","2024-02-09 00:07:18","2024-01-21 21:45:00","1957","","11","10","","","","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 11 Publisher: Multidisciplinary Digital Publishing Institute","","; ","https://www.mdpi.com/2076-2615/10/11/1957/pdf; https://scholar.google.com/scholar?q=related:ns-CmqmzrYQJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as%E2%82%9Bdt=2007&as%3Csub%3Ey%3C/sub%3Elo=2020","zot_refs","chemical composition; ensiling; in vitro rumen fermentation; pH; seaweed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5KA69389","journalArticle","2023","Ruiz Martínez, Eliana; Mckeown, Dean A.; Schroeder, Declan C.; Thuestad, Gunnar; Sjøtun, Kjersti; Sandaa, Ruth-Anne; Larsen, Aud; Hoell, Ingunn Alne","Phaeoviruses Present in Cultured and Natural Kelp Species, Saccharina latissima and Laminaria hyperborea (Phaeophyceae, Laminariales), in Norway","Viruses","","1999-4915","10.3390/v15122331","https://www.mdpi.com/1999-4915/15/12/2331","Phaeoviruses (Phycodnaviridae) are large icosahedral viruses in the phylum Nucleocytoviricota with dsDNA genomes ranging from 160 to 560 kb, infecting multicellular brown algae (Phaeophyceae). The phaeoviral host range is broader than expected, not only infecting algae from the Ectocarpales but also from the Laminariales order. However, despite phaeoviral infections being reported globally, Norwegian kelp species have not been screened. A molecular analysis of cultured and wild samples of two economically important kelp species in Norway (Saccharina latissima and Laminaria hyperborea) revealed that phaeoviruses are recurrently present along the Norwegian coast. We found the viral prevalence in S. latissima to be significantly higher at the present time compared to four years ago. We also observed regional differences within older samples, in which infections were significantly lower in northern areas than in the south or the fjords. Moreover, up to three different viral sequences were found in the same algal individual, one of which does not belong to the Phaeovirus genus and has never been reported before. This master variant therefore represents a putative new member of an unclassified phycodnavirus genus.","2023-12","2024-01-21 21:47:28","2024-02-09 00:10:54","2024-01-21 21:47:28","2331","","12","15","","","","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 12 Publisher: Multidisciplinary Digital Publishing Institute","","; ","https://www.mdpi.com/1999-4915/15/12/2331; https://scholar.google.com/scholar?q=related:gxix4C9oK7MJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as%E2%82%9Bdt=2007&as%3Csub%3Ey%3C/sub%3Elo=2020","zot_refs","<i>Phycodnaviridae</i>; kelp; MCP; Nucleocytoviricota; phaeovirus; phylogeny; prevalence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XUK6XA3U","journalArticle","2009","Wiese, Jutta; Thiel, Vera; Nagel, Kerstin; Staufenberger, Tim; Imhoff, Johannes F.","Diversity of Antibiotic-Active Bacteria Associated with the Brown Alga Laminaria saccharina from the Baltic Sea","Marine Biotechnology","","1436-2236","10.1007/s10126-008-9143-4","https://doi.org/10.1007/s10126-008-9143-4","Bacteria associated with the marine macroalga Laminaria saccharina, collected from the Kiel Fjord (Baltic Sea, Germany), were isolated and tested for antimicrobial activity. From a total of 210 isolates, 103 strains inhibited the growth of at least one microorganism from the test panel including Gram-negative and Gram-positive bacteria as well as a yeast. Most common profiles were the inhibition of Bacillus subtilis only (30%), B. subtilis and Staphylococcus lentus (25%), and B. subtilis, S. lentus, and Candida albicans (11%). In summary, the antibiotic-active isolates covered 15 different activity patterns suggesting various modes of action. On the basis of 16S rRNA gene sequence similarities >99%, 45 phylotypes were defined, which were classified into 21 genera belonging to Alphaproteobacteria, Betaproteobacteria, Gammaproteobacteria, Bacteroidetes, Firmicutes, and Actinobacteria. Phylogenetic analysis of 16S rRNA gene sequences revealed that four isolates possibly represent novel species or even genera. In conclusion, L. saccharina represents a promising source for the isolation of new bacterial taxa and antimicrobially active bacteria.","2009-04-01","2024-01-27 20:36:41","2024-02-09 00:21:44","2024-01-27 20:36:41","287-300","","2","11","","Mar Biotechnol","","","","","","","","en","","","","","Springer Link","","","","; ","https://link.springer.com/article/10.1007/s10126-008-9143-4; https://scholar.google.com/scholar?q=related:FYToiN-bKC0J:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as%E2%82%9Bdt=2007&as%3Csub%3Ey%3C/sub%3Ehi=2019","Actinobacteria; Alga-associated bacteria; algae; Alphaproteobacteria; Anti-Infective Agents; antibiotics; Antibiotics; antiinfective agent; antimicrobial activity; Antimicrobial activity; article; Bacillus subtilis; Bacteria; Bacteria (microorganisms); Bacteriology; bacterium; Bacteroidetes; Betaproteobacteria; biodiversity; Biodiversity; brown alga; Candida albicans; classification; drug effect; Firmicutes; Gallium alloys; Gammaproteobacteria; Genes; genetics; growth response; inhibition; Isolation; isolation and purification; Laminaria; Laminaria saccharina; metabolism; microbiology; Negibacteria; Novel taxa; Oceans and Seas; other_source; Phaeophyceae; phylogeny; Phylogeny; Posibacteria; RNA 16S; RNA, Ribosomal, 16S; Saccharina latissima; sea; Seawater; sequence homology; Sequence Homology, Nucleic Acid; species diversity; Staphylococcus; Staphylococcus lentus; zot_refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QAYPCW8G","journalArticle","2023","Burgunter-Delamare, Bertille; Rousvoal, Sylvie; Legeay, Erwan; Tanguy, Gwenn; Fredriksen, Stein; Boyen, Catherine; Dittami, Simon M.","The Saccharina latissima microbiome: Effects of region, season, and physiology","Frontiers in Microbiology","","1664-302X","","https://www.frontiersin.org/articles/10.3389/fmicb.2022.1050939","IntroductionSaccharina latissima is a canopy-forming species of brown algae and, as such, is considered an ecosystem engineer. Several populations of this alga are exploited worldwide, and a decrease in the abundance of S. latissima at its southern distributional range limits has been observed. Despite its economic and ecological interest, only a few data are available on the composition of microbiota associated with S. latissima and its role in algal physiologyn.MethodsWe studied the whole bacterial community composition associated with S. latissima samples from three locations (Brittany, Helgoland, and Skagerrak) by 16S metabarcoding analyses at different scales: algal blade part, regions, season (at one site), and algal physiologic state.Results and DiscussionWe have shown that the difference in bacterial composition is driven by factors of decreasing importance: (i) the algal tissues (apex/meristem), (ii) the geographical area, (iii) the seasons (at the Roscoff site), and (iv) the algal host’s condition (healthy vs. symptoms). Overall, Alphaproteobacteria, Gammaproteobacteria, and Bacteroidia dominated the general bacterial communities. Almost all individuals hosted bacteria of the genus Granulosicoccus, accounting for 12% of the total sequences, and eight additional core genera were identified. Our results also highlight a microbial signature characteristic for algae in poor health independent of the disease symptoms. Thus, our study provides a comprehensive overview of the S. latissima microbiome, forming a basis for understanding holobiont functioning.","2023","2024-01-21 21:46:59","2024-02-08 23:55:26","2024-01-27 20:51:33","","","","13","","","The Saccharina latissima microbiome","","","","","","","","","","","","Frontiers","","","","; ","https://www.frontiersin.org/articles/10.3389/fmicb.2022.1050939/full; https://scholar.google.com/scholar?q=related:BaouJBZRupUJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as%E2%82%9Bdt=2007&as%3Csub%3Ey%3C/sub%3Elo=2020","Actinobacteria; Alphaproteobacteria; Alteromonadaceae; analysis of variance; Article; Bacteroidetes; Bacteroidia; brown macroalgae; DNA 16S; DNA barcoding; DNA extraction; ecosystem; Firmicutes; Gammaproteobacteria; holobiont; macroalga; metabarcoding; microbial community; microbiota; natural population; nonhuman; other_source; Proteobacteria; Saccharina latissima; sequence analysis; Tenacibaculum; zot_refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
