First,phylum,class,family,genus,Park,Schenk,Davis,King,Staufenberger,Wiese,Tourneroche,Liu,BD
BD,Proteobacteria,Betaproteobacteria,Alcaligenaceae,Achromobacter,,,,,,,,,TRUE
BD,Proteobacteria,Gammaproteobacteria,Moraxellaceae,Acinetobacter,,,,,,,TRUE,,TRUE
Wiese,Proteobacteria,Gammaproteobacteria,Aeromonadaceae,Aeromonas,,,,,,TRUE,,,
Wiese,Proteobacteria,Betaproteobacteria,Alcaligenaceae,Alcaligenes,,,,,,TRUE,,,
Liu,Proteobacteria,Gammaproteobacteria,Alcanivoracaceae,Alcanivorax,,,,,,,,TRUE,
BD,Bacteroidetes,Flavobacteriia,Flavobacteriaceae,Algitalea,,,,,,,,,TRUE
BD,Proteobacteria,Alphaproteobacteria,Hyphomonadaceae,Algimonas,,,,,,,,,TRUE
Schenk,Proteobacteria,Alphaproteobacteria,Erythrobacteraceae,Altererythrobacter,,TRUE,,,,,,,
Staufenberger,Proteobacteria,Gammaproteobacteria,Alteromonadaceae,Alteromonas,,TRUE,,,TRUE,,,,
Wiese,Actinobacteria,Actinomycetia,Pseudonocardiaceae,Amycolatopsis,,,,,,TRUE,,,
Liu,Bacteroidetes,Flavobacteriia,Flavobacteriaceae,Aquimarina,,,,,,,,TRUE,
Liu,Proteobacteria,Gammaproteobacteria,Arenicellaceae,Arenicella,,,TRUE,,,,TRUE,TRUE,TRUE
Wiese,Actinobacteria,Actinomycetia,Micrococcaceae,Arthrobacter,,,,,,TRUE,,,
Wiese,Firmicutes,Bacilli,Bacillaceae,Bacillus,,,,,,TRUE,,,
BD,Bdellovibrionota,Bdellovibrionia,Bdellovibrionaceae,Bdellovibrio,,,,,,,,,TRUE
core?,Planctomycetota,Planctomycetia,Planctomycetaceae,Blastopirellula,TRUE,TRUE,TRUE,TRUE,,,,,TRUE
Davis,Proteobacteria,Alphaproteobacteria,Rhodobacteraceae,Celeribacter,,,TRUE,,,,,,
Wiese,Bacteroidetes,Flavobacteriia,Flavobacteriaceae,Cellulophaga,,,,,,TRUE,,,
Wiese,Proteobacteria,Gammaproteobacteria,Halomonadaceae,Cobetia,,,,,,TRUE,,,
core?,Proteobacteria,Gammaproteobacteria,Leucotrichaceae,Cocleimonas,TRUE,TRUE,TRUE,,,,,,TRUE
BD,Proteobacteria,Gammaproteobacteria,Colwelliaceae,Colwellia,TRUE,TRUE,,,,,,,TRUE
King,Bacteroidetes,Flavobacteriia,Flavobacteriaceae,Croceitalea,,,,TRUE,,,,,
Tourneroche,Actinobacteria,Actinomycetia,Propionibacteriaceae,Cutibacterium,,,,,,,TRUE,,
BD,Bacteroidetes,Flavobacteriia,Flavobacteriaceae,Dokdonia,,,,,,,,,TRUE
BD,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia-Shigella,,,,,,,,,TRUE
Staufenberger,Proteobacteria,Alphaproteobacteria,Erythrobacteraceae,Erythrobacter ,,TRUE,,,TRUE,,,,TRUE
Wiese,Proteobacteria,Gammaproteobacteria,Alteromonadaceae,Glaciecola,,,,,,TRUE,,,
core?,Proteobacteria,Gammaproteobacteria,Granulosicoccaceae,Granulosicoccus,TRUE,TRUE,TRUE,TRUE,,,TRUE,,TRUE
core?,Proteobacteria,Alphaproteobacteria,Hyphomonadaceae,Hellea,TRUE,,,TRUE,,,TRUE,,TRUE
Wiese,Proteobacteria,Alphaproteobacteria,Hyphomonadaceae,Hyphomonas,,,,,,TRUE,,,
Staufenberger,Proteobacteria,Gammaproteobacteria,Legionellaceae,Legionella,,,,,TRUE,,,,
Wiese,Actinobacteria,Actinomycetia,Microbacteriaceae,Leifsonia,,,,,,TRUE,,,
BD,Proteobacteria,Gammaproteobacteria,Thiotrichaceae,Leucothrix,,,,,,,,,TRUE
BD,Bacteroidetes,Saprospiria,Lewinellaceae,Lewinella,,TRUE,TRUE,,,,,,TRUE
BD,Proteobacteria,Alphaproteobacteria,Rhodobacteraceae,Litoreibacter,,,,,,,,,TRUE
core?,Proteobacteria,Alphaproteobacteria,Hyphomonadaceae,Litorimonas,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE
Davis,Bacteroidetes,Flavobacteriia,Flavobacteriaceae,Kordia,,,TRUE,,,,,,
