title,year,author,phylum
A deep dive into the epibiotic communities on aquacultured sugar kelp Saccharina latissima in Southern New England,2022,Liu,Proteobacteria
A deep dive into the epibiotic communities on aquacultured sugar kelp Saccharina latissima in Southern New England,2022,Liu,Bacteroidetes
A deep dive into the epibiotic communities on aquacultured sugar kelp Saccharina latissima in Southern New England,2022,Liu,Verrucomicrobia
Consistency and Variation in the Kelp Microbiota: Patterns of Bacterial Community Structure Across Spatial Scales,2023,King,Proteobacteria
Consistency and Variation in the Kelp Microbiota: Patterns of Bacterial Community Structure Across Spatial Scales,2023,King,Bacteroidetes
Consistency and Variation in the Kelp Microbiota: Patterns of Bacterial Community Structure Across Spatial Scales,2023,King,Planctomycetota
Exploring the impact of microbial manipulation on the early development of kelp (Saccharina latissima) using an ecological core microbiome framework,2023,Park,Proteobacteria
Exploring the impact of microbial manipulation on the early development of kelp (Saccharina latissima) using an ecological core microbiome framework,2023,Park,Bacteroidetes
Exploring the impact of microbial manipulation on the early development of kelp (Saccharina latissima) using an ecological core microbiome framework,2023,Park,Planctomycetota
Low salinity significantly alters the bacterial community of the marine foundation species Saccharina latissima (sugar kelp),2023,Schenk,Proteobacteria
Low salinity significantly alters the bacterial community of the marine foundation species Saccharina latissima (sugar kelp),2023,Schenk,Verrucomicrobia
Low salinity significantly alters the bacterial community of the marine foundation species Saccharina latissima (sugar kelp),2023,Schenk,Bacteroidetes
Phylogenetic analysis of bacteria associated with Laminaria saccharina,2008,Staufenberger,Proteobacteria
Phylogenetic analysis of bacteria associated with Laminaria saccharina,2008,Staufenberger,Bacteroidetes
Phylogenetic analysis of bacteria associated with Laminaria saccharina,2008,Staufenberger,NA
Successional dynamics of the cultivated kelp microbiome,2023,Davis,Proteobacteria
Successional dynamics of the cultivated kelp microbiome,2023,Davis,Bacteroidetes
Successional dynamics of the cultivated kelp microbiome,2023,Davis,Planctomycetota
"The Bacterial and Fungal Microbiota of Saccharina latissima (Laminariales, Phaeophyceae)",2020,Tourneroche,Proteobacteria
"The Bacterial and Fungal Microbiota of Saccharina latissima (Laminariales, Phaeophyceae)",2020,Tourneroche,Bacteroidetes
"The Bacterial and Fungal Microbiota of Saccharina latissima (Laminariales, Phaeophyceae)",2020,Tourneroche,Actinobacteria
"The Saccharina latissima microbiome: Effects of region, season, and physiology",2023,Burgunter-Delamare,Proteobacteria
"The Saccharina latissima microbiome: Effects of region, season, and physiology",2023,Burgunter-Delamare,Bacteroidetes
"The Saccharina latissima microbiome: Effects of region, season, and physiology",2023,Burgunter-Delamare,Planctomycetota
