Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13,"M Novoa-Garrido, CN Marcos, MDC Travieso…","Preserving Porphyra umbilicalis and Saccharina latissima as Silages for Ruminant Feeding",2020,"Animals","mdpi.com","https://www.mdpi.com/2076-2615/10/11/1957","https://scholar.google.com/scholar?cites=9560495125000540062&as_sdt=2005&sciodt=2007&hl=en",1,"2024-02-07 15:29:36","","","","",,,,,13,3.25,3,4,4,"… In this study, we assessed different procedures to ensile Porphyra umbilicalis and Saccharina latissima, including the washing and pre-wilting of the seaweeds before ensiling and the …","https://www.mdpi.com/2076-2615/10/11/1957/pdf","https://scholar.google.com/scholar?q=related:ns-CmqmzrYQJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_ylo=2020"
4,"B Burgunter-Delamare, S Rousvoal, E Legeay…","The Saccharina latissima microbiome: Effects of region, season, and physiology",2023,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fmicb.2022.1050939/full","https://scholar.google.com/scholar?cites=10789025012857612805&as_sdt=2005&sciodt=2007&hl=en",2,"2024-02-07 15:29:36","HTML","10.3389/fmicb.2022.1050939","","",,,,,4,4.00,1,4,1,"Saccharina latissima is a canopy-forming species of brown algae and, as such, is considered an ecosystem engineer. Several populations of this alga are exploited worldwide, and a …","https://www.frontiersin.org/articles/10.3389/fmicb.2022.1050939/full","https://scholar.google.com/scholar?q=related:BaouJBZRupUJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_ylo=2020"
0,"EH Boldreel, KM Attard, K Hancke…","Microbial degradation dynamics of farmed kelp deposits from Saccharina latissima and Alaria esculenta",2023,"Marine Ecology Progress …","int-res.com","https://www.int-res.com/abstracts/meps/v709/p1-15/","",3,"2024-02-07 15:29:36","","","","",,,,,0,0.00,0,4,1,"… In the nothern hemisphere, the sugar kelp Saccharina latissima, along with the winged kelp Alaria … Incubations were performed in triplicates containing either fresh Saccharina latissima, …","https://www.int-res.com/articles/meps_oa/m709p001.pdf","https://scholar.google.com/scholar?q=related:RbN3bNJjuTYJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_ylo=2020"
23,"A Tourneroche, R Lami, G Burgaud…","The Bacterial and Fungal Microbiota of Saccharina latissima (Laminariales, Phaeophyceae)",2020,"Frontiers in Marine …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fmars.2020.587566/full","https://scholar.google.com/scholar?cites=11052967166726829343&as_sdt=2005&sciodt=2007&hl=en",4,"2024-02-07 15:29:36","HTML","10.3389/fmars.2020.587566","","",,,,,23,5.75,6,4,4,"The sugar kelp Saccharina latissima dominates many temperate coastal ecosystems, plays key ecological roles and presents important economic potential. However, its microbiota …","https://www.frontiersin.org/articles/10.3389/fmars.2020.587566/full","https://scholar.google.com/scholar?q=related:H_XOthMHZJkJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_ylo=2020"
0,"B Burgunter-Delamare, S Rousvoal, E Legeay…","The Saccharina latissima microbiome: algal tissue matters more than region, season, and physiology",2022,"bioRxiv","biorxiv.org","https://www.biorxiv.org/content/10.1101/2022.06.22.497188.abstract","",5,"2024-02-07 15:29:36","","10.1101/2022.06.22.497188.abstract","","",,,,,0,0.00,0,4,2,"Saccharina latissima is a canopy-forming species of brown algae and, as such, is considered an ecosystem engineer. Several populations of this alga are exploited worldwide, and a …","https://www.biorxiv.org/content/10.1101/2022.06.22.497188.full.pdf","https://scholar.google.com/scholar?q=related:phYXsoiJ2NwJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_ylo=2020"
15,"VHN Tran, TT Nguyen, S Meier, J Holck, HTT Cao…","The Endo-α(1,3)-Fucoidanase Mef2 Releases Uniquely Branched Oligosaccharides from Saccharina latissima Fucoidans",2022,"Marine Drugs","mdpi.com","https://www.mdpi.com/1660-3397/20/5/305","https://scholar.google.com/scholar?cites=11727057941465466393&as_sdt=2005&sciodt=2007&hl=en",6,"2024-02-07 15:29:36","HTML","","","",,,,,15,7.50,3,6,2,"… : U f /μM) of Mef2 on two structurally different fucoidans, showing an activity of 1.2 × 10 −3 U f /μM and 3.6 × 10 −3 U f /μM on fucoidans from Fucus evanescens and Saccharina latissima…","https://www.mdpi.com/1660-3397/20/5/305","https://scholar.google.com/scholar?q=related:GQZ5rRDhvqIJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_ylo=2020"
0,"E Ruiz Martínez, DA Mckeown, DC Schroeder…","Phaeoviruses Present in Cultured and Natural Kelp Species, Saccharina latissima and Laminaria hyperborea (Phaeophyceae, Laminariales), in Norway",2023,"Viruses","mdpi.com","https://www.mdpi.com/1999-4915/15/12/2331","",7,"2024-02-07 15:29:36","HTML","","","",,,,,0,0.00,0,4,1,"… Cultured Saccharina latissima sporophyte samples were provided by our industry partner, Ocean Forest, and harvested during Spring 2021 in Austevoll (Rogaland, Norway) (Table 1, …","https://www.mdpi.com/1999-4915/15/12/2331","https://scholar.google.com/scholar?q=related:gxix4C9oK7MJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_ylo=2020"
1,"D Pacheco, J Cotas, L Pereira…","A Possible Synergistic Approach: Case Study of Saccharina latissima Extract and Nitrifying Bacteria in Lettuce",2023,"Journal of Marine Science …","mdpi.com","https://www.mdpi.com/2077-1312/11/9/1645?trk=public_post_main-feed-card_reshare-text","https://scholar.google.com/scholar?cites=3919719862544678018&as_sdt=2005&sciodt=2007&hl=en",8,"2024-02-07 15:29:36","HTML","","","",,,,,1,1.00,0,4,1,"… Saccharina latissima, known as sugar kelp, was a North Atlantic and North Sea natural seaweed. Numerous successful cases have demonstrated S. latissima’s farming and economic …","https://www.mdpi.com/2077-1312/11/9/1645?trk=public_post_main-feed-card_reshare-text","https://scholar.google.com/scholar?q=related:grwEinKkZTYJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_ylo=2020"
8,"H Li, L Scheschonk, S Heinrich, K Valentin…","Transcriptomic Responses to Darkness and the Survival Strategy of the Kelp Saccharina latissima in the Early Polar Night",2020,"Frontiers in Marine …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fmars.2020.592033/full","https://scholar.google.com/scholar?cites=14609263146233507361&as_sdt=2005&sciodt=2007&hl=en",9,"2024-02-07 15:29:36","HTML","10.3389/fmars.2020.592033","","",,,,,8,2.00,2,5,4,"… As the survival strategy of kelps during darkness in the warming Arctic is poorly understood, we studied the physiological and transcriptomic responses of Saccharina latissima, one of …","https://www.frontiersin.org/articles/10.3389/fmars.2020.592033/full","https://scholar.google.com/scholar?q=related:IS50pW2HvsoJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_ylo=2020"
5,"CM Heiman, J Wiese, P Kupferschmied…","Draft Genome Sequence of Pseudomonas sp. Strain LD120, Isolated from the Marine Alga Saccharina latissima",2020,"Microbiology …","Am Soc Microbiol","https://journals.asm.org/doi/abs/10.1128/mra.01305-19","https://scholar.google.com/scholar?cites=442395539468235874&as_sdt=2005&sciodt=2007&hl=en",10,"2024-02-07 15:29:36","","10.1128/mra.01305-19","","",,,,,5,1.25,1,4,4,"We report the draft genome sequence of Pseudomonas sp. strain LD120, which was isolated from a brown macroalga in the Baltic Sea. The genome of this marine Pseudomonas …","https://journals.asm.org/doi/pdf/10.1128/mra.01305-19","https://scholar.google.com/scholar?q=related:YrQ4NGa0IwYJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_ylo=2020"
