Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
16,"S Heinrich, K Valentin, S Frickenhaus…","Origin matters—Comparative transcriptomics in Saccharina latissima (Phaeophyceae)",2016,"Journal of Experimental …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022098115300757","https://scholar.google.com/scholar?cites=5977828659907764239&as_sdt=2005&sciodt=2007&hl=en",1,"2024-02-07 13:53:53","","","","",,,,,16,2.00,4,4,8,"… We studied interactive effects of UVR and temperature on gene expression in Saccharina latissima freshly sampled in the field (Spitsbergen, Norway) versus established laboratory …","https://epic.awi.de/id/eprint/39280/1/Heinrich_et_al_2015_JEMBE.pdf","https://scholar.google.com/scholar?q=related:D6DziX6D9VIJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
30,"ES Balakirev, TN Krupnova, FJ Ayala","Symbiotic Associations in the Phenotypically-Diverse Brown Alga Saccharina japonica",2012,"PLoS One","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0039587","https://scholar.google.com/scholar?cites=4011822767652871373&as_sdt=2005&sciodt=2007&hl=en",2,"2024-02-07 13:53:53","HTML","","","",,,,,30,2.50,10,3,12,"The brown alga Saccharina japonica (Areschoug) Lane, Mayes, Druehl et Saunders is a highly polymorphic representative of the family Laminariaceae, inhabiting the northwest Pacific …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0039587","https://scholar.google.com/scholar?q=related:zRzGN43brDcJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
212,"J Wiese, V Thiel, K Nagel, T Staufenberger…","Diversity of Antibiotic-Active Bacteria Associated with the Brown Alga Laminaria saccharina from the Baltic Sea",2009,"Marine Biotechnology","Springer","https://link.springer.com/article/10.1007/s10126-008-9143-4","https://scholar.google.com/scholar?cites=3254022115152135189&as_sdt=2005&sciodt=2007&hl=en",3,"2024-02-07 13:53:53","HTML","10.1007/s10126-008-9143-4","","",,,,,212,14.13,42,5,15,"Bacteria associated with the marine macroalga Laminaria saccharina, collected from the Kiel Fjord (Baltic Sea, Germany), were isolated and tested for antimicrobial activity. From a total …","https://link.springer.com/article/10.1007/s10126-008-9143-4","https://scholar.google.com/scholar?q=related:FYToiN-bKC0J:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
13,"F Ometto, A Berg, A Björn, L Safaric…","Inclusion of Saccharina latissima in conventional anaerobic digestion systems",2018,"Environmental …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/09593330.2017.1309075","https://scholar.google.com/scholar?cites=8062377950655926506&as_sdt=2005&sciodt=2007&hl=en",4,"2024-02-07 13:53:53","","10.1080/09593330.2017.1309075","","",,,,,13,2.17,3,5,6,"… In this work, the co-digestion of the brown macroalgae Saccharina latissima with mixed municipal wastewater sludge (WWS) was investigated in mesophilic and thermophilic conditions. …","https://www.diva-portal.org/smash/get/diva2:1193805/FULLTEXT01.pdf","https://scholar.google.com/scholar?q=related:6tDJoQdS428J:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
68,"PK Sappati, B Nayak, GP VanWalsum…","Combined effects of seasonal variation and drying methods on the physicochemical properties and antioxidant activity of sugar kelp (Saccharina latissima)",2019,"Journal of Applied …","Springer","https://link.springer.com/article/10.1007/s10811-018-1596-x","https://scholar.google.com/scholar?cites=18035185851099298928&as_sdt=2005&sciodt=2007&hl=en",5,"2024-02-07 13:53:53","HTML","10.1007/s10811-018-1596-x","","",,,,,68,13.60,17,4,5,"… Fresh sugar kelp samples were dried using sun drying, … WHC exhibited in freeze dried sugar kelp. At lower drying humidity … preservation of the bioactive compounds in dried sugar kelp. …","https://link.springer.com/article/10.1007/s10811-018-1596-x","https://scholar.google.com/scholar?q=related:cLzsIPrZSfoJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
71,"K Østgaard, M Indergaard, S Markussen…","Carbohydrate degradation and methane production during fermentation ofLaminaria saccharina (Laminariales, Phaeophyceae)",1993,"Journal of applied …","Springer","https://link.springer.com/article/10.1007/BF02186236","https://scholar.google.com/scholar?cites=9130453806199402419&as_sdt=2005&sciodt=2007&hl=en",6,"2024-02-07 13:53:53","","10.1007/BF02186236","","",,,,,71,2.29,18,4,31,"… The present investigation was carried out to provide quantitative data on the anaerobic digestion of Laminaria saccharina (L.) Lamour. Spring and autumn samples were tested to …","https://www.academia.edu/download/49461105/Carbohydrate_degradation_and_methane_pro20161008-30537-df8wvm.pdf","https://scholar.google.com/scholar?q=related:s--gjFzjtX4J:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
12,"BT Haugland, SPS Rastrick, AL Agnalt, V Husa…","Mortality and reduced photosynthetic performance in sugar kelp Saccharina latissima caused by the salmon-lice therapeutant hydrogen peroxide",2019,"Aquaculture …","int-res.com","https://www.int-res.com/abstracts/aei/v11/p1-17","https://scholar.google.com/scholar?cites=6215330601589456216&as_sdt=2005&sciodt=2007&hl=en",7,"2024-02-07 13:53:53","","","","",,,,,12,2.40,2,5,5,"Sugar kelp Saccharina latissima is one of the dominating kelp species on sheltered sublittoral sites along the Norwegian coastline, providing important habitats and ecosystem services. …","https://www.int-res.com/articles/aei2019/11/q011p001.pdf","https://scholar.google.com/scholar?q=related:WL1afUBKQVYJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
197,"T Staufenberger, V Thiel, J Wiese…","Phylogenetic analysis of bacteria associated with Laminaria saccharina",2008,"FEMS Microbiology …","academic.oup.com","https://academic.oup.com/femsec/article-abstract/64/1/65/534886","https://scholar.google.com/scholar?cites=7757025044497401468&as_sdt=2005&sciodt=2007&hl=en",8,"2024-02-07 13:53:53","","","","",,,,,197,12.31,49,4,16,"Bacterial communities associated with the brown alga Laminaria saccharina from the Baltic Sea and from the North Sea were investigated using denaturing gradient gel electrophoresis …","https://academic.oup.com/femsec/article-pdf/64/1/65/18102311/64-1-65.pdf","https://scholar.google.com/scholar?q=related:fIYT8y19pmsJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
82,"G Jard, D Jackowiak, H Carrère, JP Delgenès…","Batch and semi-continuous anaerobic digestion of Palmaria palmata: Comparison with Saccharina latissima and inhibition studies",2012,"Chemical engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894712010558","https://scholar.google.com/scholar?cites=4330866066913092723&as_sdt=2005&sciodt=2007&hl=en",9,"2024-02-07 13:53:53","","","","",,,,,82,6.83,16,5,12,"… palmata was investigated and compared to Saccharina latissima for biogas production in both batch and semi-continuous reactors. P. palmata permitted a better production of methane …","","https://scholar.google.com/scholar?q=related:c-Ql8L1TGjwJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
53,"SM Lee, JH Lee","The isolation and characterization of simultaneous saccharification and fermentation microorganisms for Laminaria japonica utilization",2011,"Bioresource Technology","Elsevier","https://www.sciencedirect.com/science/article/pii/S096085241100191X","https://scholar.google.com/scholar?cites=12952645238920100303&as_sdt=2005&sciodt=2007&hl=en",10,"2024-02-07 13:53:53","","","","",,,,,53,4.08,27,2,13,"Brown seaweed contains various carbohydrates, such as alginate, laminaran, and mannitol, therefore ethanol fermentation was attempted with Nuruk and a mixed culture that included …","","https://scholar.google.com/scholar?q=related:z7l8_zcKwbMJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
